anio,semana,nombreestacion,temperatura_promedio
2009,30,PAJARITO - AUT,19.635119047619046
2009,31,PAJARITO - AUT,20.665060240963857
2009,32,PAJARITO - AUT,19.870833333333334
2009,33,PAJARITO - AUT,19.718562874251496
2009,34,PAJARITO - AUT,18.8
2009,35,PAJARITO - AUT,19.71272727272727
2009,36,PAJARITO - AUT,20.78333333333333
2009,37,PAJARITO - AUT,19.795625
2009,38,PAJARITO - AUT,19.016666666666666
2009,39,PAJARITO - AUT,20.825595238095236
2009,40,PAJARITO - AUT,19.98392857142857
2009,41,PAJARITO - AUT,19.426993865030674
2009,42,PAJARITO - AUT,17.636309523809523
2009,43,PAJARITO - AUT,18.492261904761904
2009,44,PAJARITO - AUT,18.321019108280254
2009,45,PAJARITO - AUT,17.36610169491525
2009,46,PAJARITO - AUT,18.99135802469136
2009,47,PAJARITO - AUT,20.043650793650794
2009,48,PAJARITO - AUT,19.548412698412697
2009,51,PAJARITO - AUT,18.655405405405407
2009,52,PAJARITO - AUT,18.74404761904762
2009,53,PAJARITO - AUT,18.424223602484474
2010,1,PAJARITO - AUT,19.12232142857143
2010,2,PAJARITO - AUT,20.582352941176474
2010,3,PAJARITO - AUT,20.467924528301886
2010,4,PAJARITO - AUT,19.872392638036807
2010,5,PAJARITO - AUT,21.295104895104895
2010,6,PAJARITO - AUT,19.862420382165606
2010,7,PAJARITO - AUT,21.314285714285713
2010,8,PAJARITO - AUT,19.624096385542167
2010,9,PAJARITO - AUT,20.776363636363637
2010,10,PAJARITO - AUT,21.107142857142858
2010,11,PAJARITO - AUT,20.17716049382716
2010,12,PAJARITO - AUT,20.557668711656444
2010,13,PAJARITO - AUT,19.369032258064514
2010,14,PAJARITO - AUT,18.760666666666665
2010,15,PAJARITO - AUT,19.141975308641975
2010,16,PAJARITO - AUT,20.919512195121953
2010,17,PAJARITO - AUT,19.211377245508984
2010,18,PAJARITO - AUT,19.498809523809523
2010,19,PAJARITO - AUT,20.900613496932518
2010,20,PAJARITO - AUT,19.670186335403727
2010,21,PAJARITO - AUT,18.371875
2010,22,PAJARITO - AUT,19.36867469879518
2010,23,PAJARITO - AUT,18.50526315789474
2010,24,PAJARITO - AUT,18.1933734939759
2010,25,PAJARITO - AUT,18.54285714285714
2010,26,PAJARITO - AUT,18.36969696969697
2010,27,PAJARITO - AUT,17.7437125748503
2010,28,PAJARITO - AUT,17.148214285714285
2010,29,PAJARITO - AUT,18.742944785276073
2010,30,PAJARITO - AUT,17.991515151515152
2010,31,PAJARITO - AUT,19.60301204819277
2010,32,PAJARITO - AUT,19.11556886227545
2010,33,PAJARITO - AUT,18.35833333333333
2010,34,PAJARITO - AUT,18.22638036809816
2010,35,PAJARITO - AUT,18.15297619047619
2010,36,PAJARITO - AUT,17.98392857142857
2010,37,PAJARITO - AUT,18.252409638554216
2010,38,PAJARITO - AUT,17.027672955974843
2010,39,PAJARITO - AUT,17.559036144578315
2010,40,PAJARITO - AUT,18.446875
2010,41,PAJARITO - AUT,18.813253012048193
2010,42,PAJARITO - AUT,17.683734939759034
2010,43,PAJARITO - AUT,17.70344827586207
2010,44,PAJARITO - AUT,17.949404761904763
2010,45,PAJARITO - AUT,17.382142857142856
2010,46,PAJARITO - AUT,17.39107142857143
2010,47,PAJARITO - AUT,17.482499999999998
2010,48,PAJARITO - AUT,17.252095808383235
2010,49,PAJARITO - AUT,18.377380952380953
2010,50,PAJARITO - AUT,17.199404761904763
2010,51,PAJARITO - AUT,17.513253012048192
2010,52,PAJARITO - AUT,18.48154761904762
2011,1,PAJARITO - AUT,17.825748502994013
2011,2,PAJARITO - AUT,20.214880952380952
2011,3,PAJARITO - AUT,19.162275449101795
2011,4,PAJARITO - AUT,17.946666666666665
2011,5,PAJARITO - AUT,19.377380952380953
2011,6,PAJARITO - AUT,17.71746987951807
2011,7,PAJARITO - AUT,17.99503105590062
2011,8,PAJARITO - AUT,17.875595238095237
2011,9,PAJARITO - AUT,17.235329341317367
2011,10,PAJARITO - AUT,17.3
2011,11,PAJARITO - AUT,18.692168674698795
2011,12,PAJARITO - AUT,17.923809523809524
2011,13,PAJARITO - AUT,19.634177215189872
2011,14,PAJARITO - AUT,17.70357142857143
2011,15,PAJARITO - AUT,16.950898203592814
2011,16,PAJARITO - AUT,17.013095238095236
2011,17,PAJARITO - AUT,18.31349693251534
2011,18,PAJARITO - AUT,19.328658536585365
2011,19,PAJARITO - AUT,18.395833333333332
2011,20,PAJARITO - AUT,17.88109756097561
2011,21,PAJARITO - AUT,18.692814371257484
2011,22,PAJARITO - AUT,18.37090909090909
2011,23,PAJARITO - AUT,19.98181818181818
2011,24,PAJARITO - AUT,19.430120481927712
2011,25,PAJARITO - AUT,18.41851851851852
2011,26,PAJARITO - AUT,18.711333333333332
