anio,mes,tabla_origen,categoria,valor
2021,NOV,motivo_especifico_legacy_2021_2023,"NO APLICACIÓN DE NORMAS, GUÍAS O PROTOCOLOS DE ATENCIÓN",1705
2021,DIC,motivo_especifico_legacy_2021_2023,"NO APLICACIÓN DE NORMAS, GUÍAS O PROTOCOLOS DE ATENCIÓN",1803
2021,ENE,motivo_especifico_legacy_2021_2023,DEFICIENCIAS EN LA SEGURIDAD DEL PACIENTE,672
2021,FEB,motivo_especifico_legacy_2021_2023,DEFICIENCIAS EN LA SEGURIDAD DEL PACIENTE,627
2021,MAR,motivo_especifico_legacy_2021_2023,DEFICIENCIAS EN LA SEGURIDAD DEL PACIENTE,631
2021,ABR,motivo_especifico_legacy_2021_2023,DEFICIENCIAS EN LA SEGURIDAD DEL PACIENTE,629
2021,MAY,motivo_especifico_legacy_2021_2023,DEFICIENCIAS EN LA SEGURIDAD DEL PACIENTE,635
2021,JUN,motivo_especifico_legacy_2021_2023,DEFICIENCIAS EN LA SEGURIDAD DEL PACIENTE,468
2021,JUL,motivo_especifico_legacy_2021_2023,DEFICIENCIAS EN LA SEGURIDAD DEL PACIENTE,465
2021,AGO,motivo_especifico_legacy_2021_2023,DEFICIENCIAS EN LA SEGURIDAD DEL PACIENTE,578
2021,SEP,motivo_especifico_legacy_2021_2023,DEFICIENCIAS EN LA SEGURIDAD DEL PACIENTE,687
2021,OCT,motivo_especifico_legacy_2021_2023,DEFICIENCIAS EN LA SEGURIDAD DEL PACIENTE,679
2021,NOV,motivo_especifico_legacy_2021_2023,DEFICIENCIAS EN LA SEGURIDAD DEL PACIENTE,1097
2021,DIC,motivo_especifico_legacy_2021_2023,DEFICIENCIAS EN LA SEGURIDAD DEL PACIENTE,1605
2021,ENE,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS NO POS,4082
2021,FEB,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS NO POS,4272
2021,MAR,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS NO POS,4186
2021,ABR,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS NO POS,3901
2021,MAY,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS NO POS,3454
2021,JUN,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS NO POS,4050
2021,JUL,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS NO POS,4470
