anio,semana,casos_dengue,temperatura_promedio,precipitacion_acumulada,temperatura_lag2,precipitacion_lag2,temperatura_lag4,precipitacion_lag4,casos_dengue_semana_siguiente
2018,25,21,20.782665343915344,65.938,21.70208333333333,1.981,20.285416666666663,90.48,22.0
2018,26,22,19.641964285714288,35.029,21.077564513829483,40.981,20.247916666666665,124.488,29.0
2018,27,29,20.83869047619048,45.870000000000005,20.782665343915344,65.938,21.70208333333333,1.981,38.0
2018,28,38,21.99434523809524,2.033,19.641964285714288,35.029,21.077564513829483,40.981,18.0
2018,29,18,21.19891906873614,18.116,20.83869047619048,45.870000000000005,20.782665343915344,65.938,20.0
2018,30,20,18.92559523809524,28.7,21.99434523809524,2.033,19.641964285714288,35.029,22.0
2018,31,22,18.89593253968254,34.6,21.19891906873614,18.116,20.83869047619048,45.870000000000005,21.0
2018,32,21,21.707008448540705,0.033,18.92559523809524,28.7,21.99434523809524,2.033,17.0
2018,33,17,21.16390977443609,38.207,18.89593253968254,34.6,21.19891906873614,18.116,28.0
2018,34,28,21.933630952380952,9.211,21.707008448540705,0.033,18.92559523809524,28.7,27.0
2018,35,27,21.44077380952381,28.06,21.16390977443609,38.207,18.89593253968254,34.6,27.0
2018,36,27,19.647619047619045,167.208,21.933630952380952,9.211,21.707008448540705,0.033,13.0
2018,37,13,19.54732142857143,101.313,21.44077380952381,28.06,21.16390977443609,38.207,23.0
2018,38,23,21.43958333333333,43.509,19.647619047619045,167.208,21.933630952380952,9.211,25.0
2018,39,25,20.383035714285715,132.032,19.54732142857143,101.313,21.44077380952381,28.06,28.0
2018,40,28,19.59791666666667,244.417,21.43958333333333,43.509,19.647619047619045,167.208,24.0
2018,41,24,19.40773809523809,81.641,20.383035714285715,132.032,19.54732142857143,101.313,26.0
2018,42,26,19.423627744510977,107.757,19.59791666666667,244.417,21.43958333333333,43.509,27.0
2018,43,27,20.06755952380952,44.153,19.40773809523809,81.641,20.383035714285715,132.032,15.0
2018,44,15,19.163027680397317,121.576,19.423627744510977,107.757,19.59791666666667,244.417,25.0
2018,45,25,19.776190476190475,36.817,20.06755952380952,44.153,19.40773809523809,81.641,11.0
2018,46,11,20.524666737952664,43.536,19.163027680397317,121.576,19.423627744510977,107.757,39.0
2018,47,39,20.163392857142856,228.883,19.776190476190475,36.817,20.06755952380952,44.153,26.0
2018,48,26,19.56934523809524,38.901,20.524666737952664,43.536,19.163027680397317,121.576,13.0
2018,49,13,19.92142857142857,11.767,20.163392857142856,228.883,19.776190476190475,36.817,28.0
2018,50,28,20.68204604130809,6.422000000000001,19.56934523809524,38.901,20.524666737952664,43.536,20.0
2018,51,20,20.358630952380956,5.2010000000000005,19.92142857142857,11.767,20.163392857142856,228.883,18.0
2018,52,18,21.199107142857144,0.0,20.68204604130809,6.422000000000001,19.56934523809524,38.901,25.0
2019,1,25,21.70208333333333,48.616,20.358630952380956,5.2010000000000005,19.92142857142857,11.767,29.0
2019,2,29,19.181845238095235,44.163,21.199107142857144,0.0,20.68204604130809,6.422000000000001,22.0
2019,3,22,20.54761904761905,16.539,21.70208333333333,48.616,20.358630952380956,5.2010000000000005,11.0
2019,4,11,21.96904761904762,0.876,19.181845238095235,44.163,21.199107142857144,0.0,15.0
2019,5,15,20.58469489592244,19.978,20.54761904761905,16.539,21.70208333333333,48.616,19.0
2019,6,19,20.980059523809523,0.732,21.96904761904762,0.876,19.181845238095235,44.163,18.0
2019,7,18,21.84583333333333,2.823,20.58469489592244,19.978,20.54761904761905,16.539,7.0
2019,8,7,20.707722055888222,105.743,20.980059523809523,0.732,21.96904761904762,0.876,20.0
2019,9,20,19.816071428571423,121.411,21.84583333333333,2.823,20.58469489592244,19.978,16.0
2019,10,16,21.13575883946393,25.105,20.707722055888222,105.743,20.980059523809523,0.732,13.0
2019,11,13,21.175892857142856,14.3,19.816071428571423,121.411,21.84583333333333,2.823,10.0
2019,12,10,19.45817805383023,68.6,21.13575883946393,25.105,20.707722055888222,105.743,17.0
2019,13,17,20.43244047619048,65.8,21.175892857142856,14.3,19.816071428571423,121.411,16.0
2019,14,16,19.54794426048565,81.5,19.45817805383023,68.6,21.13575883946393,25.105,10.0
2019,15,10,20.6625,45.8,20.43244047619048,65.8,21.175892857142856,14.3,18.0
2019,16,18,20.26900662959795,30.4,19.54794426048565,81.5,19.45817805383023,68.6,25.0
2019,17,25,20.517857142857142,35.1,20.6625,45.8,20.43244047619048,65.8,23.0
2019,18,23,22.4164156626506,0.0,20.26900662959795,30.4,19.54794426048565,81.5,16.0
2019,19,16,20.93189117929051,38.6,20.517857142857142,35.1,20.6625,45.8,25.0
2019,20,25,20.026488095238093,73.3,22.4164156626506,0.0,20.26900662959795,30.4,25.0
2019,21,25,19.680952380952377,64.3,20.93189117929051,38.6,20.517857142857142,35.1,24.0
2019,22,24,19.45684523809524,62.1,20.026488095238093,73.3,22.4164156626506,0.0,28.0
2019,23,28,20.99731784279977,37.8,19.680952380952377,64.3,20.93189117929051,38.6,21.0
2019,24,21,21.176957831325304,18.4,19.45684523809524,62.1,20.026488095238093,73.3,26.0
2019,25,26,22.412554112554112,0.1,20.99731784279977,37.8,19.680952380952377,64.3,21.0
2019,26,21,21.656854148845166,3.2,21.176957831325304,18.4,19.45684523809524,62.1,39.0
2019,27,39,20.96992621899059,38.1,22.412554112554112,0.1,20.99731784279977,37.8,25.0
2019,28,25,20.98482142857143,29.8,21.656854148845166,3.2,21.176957831325304,18.4,33.0
2019,29,33,21.879348445965213,10.1,20.96992621899059,38.1,22.412554112554112,0.1,22.0
2019,30,22,20.987724550898204,21.4,20.98482142857143,29.8,21.656854148845166,3.2,24.0
2019,31,24,21.598642857142856,8.8,21.879348445965213,10.1,20.96992621899059,38.1,36.0
2019,32,36,22.56467770034843,0.0,20.987724550898204,21.4,20.98482142857143,29.8,28.0
2019,33,28,21.651785714285715,6.1,21.598642857142856,8.8,21.879348445965213,10.1,38.0
2019,34,38,22.284559452523524,1.874,22.56467770034843,0.0,20.987724550898204,21.4,43.0
2019,35,43,22.22268246187364,3.834,21.651785714285715,6.1,21.598642857142856,8.8,25.0
2019,36,25,22.34106060606061,51.072,22.284559452523524,1.874,22.56467770034843,0.0,30.0
2019,37,30,22.580755649717517,93.228,22.22268246187364,3.834,21.651785714285715,6.1,49.0
2019,38,49,19.6575,72.412,22.34106060606061,51.072,22.284559452523524,1.874,44.0
2019,39,44,20.242107716580605,84.449,22.580755649717517,93.228,22.22268246187364,3.834,33.0
2019,40,33,19.811947533504423,64.07900000000001,19.6575,72.412,22.34106060606061,51.072,27.0
2019,41,27,19.94417347123934,33.158,20.242107716580605,84.449,22.580755649717517,93.228,27.0
2019,42,27,19.741271645021644,77.337,19.811947533504423,64.07900000000001,19.6575,72.412,26.0
2019,43,26,19.44985594552121,123.856,19.94417347123934,33.158,20.242107716580605,84.449,15.0
2019,44,15,20.33673054587689,99.606,19.741271645021644,77.337,19.811947533504423,64.07900000000001,35.0
2019,45,35,20.32371212121212,90.394,19.44985594552121,123.856,19.94417347123934,33.158,13.0
2019,46,13,19.280833333333334,86.971,20.33673054587689,99.606,19.741271645021644,77.337,21.0
2019,47,21,19.34214826839827,179.652,20.32371212121212,90.394,19.44985594552121,123.856,16.0
2019,48,16,21.175400983746798,15.971,19.280833333333334,86.971,20.33673054587689,99.606,22.0
2019,49,22,20.334424603174604,19.691000000000003,19.34214826839827,179.652,20.32371212121212,90.394,27.0
2019,50,27,19.78839285714286,65.613,21.175400983746798,15.971,19.280833333333334,86.971,21.0
2019,51,21,21.011607142857144,19.577,20.334424603174604,19.691000000000003,19.34214826839827,179.652,17.0
2019,52,17,21.58376817792985,44.2,19.78839285714286,65.613,21.175400983746798,15.971,36.0
2020,1,36,20.1265367965368,30.362,21.011607142857144,19.577,20.334424603174604,19.691000000000003,46.0
2020,2,46,20.4320533888402,0.0,21.58376817792985,44.2,19.78839285714286,65.613,37.0
2020,3,37,22.37250081539465,0.0,20.1265367965368,30.362,21.011607142857144,19.577,23.0
2020,4,23,20.1506599378882,74.81,20.4320533888402,0.0,21.58376817792985,44.2,20.0
2020,5,20,20.95476907630522,30.737,22.37250081539465,0.0,20.1265367965368,30.362,36.0
2020,6,36,21.638881401617247,3.067,20.1506599378882,74.81,20.4320533888402,0.0,33.0
2020,7,33,22.25146172393008,11.719,20.95476907630522,30.737,22.37250081539465,0.0,22.0
2020,8,22,22.024197722567287,66.928,21.638881401617247,3.067,20.1506599378882,74.81,21.0
2020,9,21,21.29524600504626,6.045,22.25146172393008,11.719,20.95476907630522,30.737,24.0
2020,10,24,22.29136904761905,2.717,22.024197722567287,66.928,21.638881401617247,3.067,20.0
2020,11,20,20.87708333333333,58.356,21.29524600504626,6.045,22.25146172393008,11.719,16.0
2020,12,16,20.72755801687764,24.102,22.29136904761905,2.717,22.024197722567287,66.928,7.0
2020,13,7,21.10360075064509,14.557,20.87708333333333,58.356,21.29524600504626,6.045,12.0
2020,14,12,22.622377622377623,17.193,20.72755801687764,24.102,22.29136904761905,2.717,10.0
2020,15,10,23.511805555555554,16.224,21.10360075064509,14.557,20.87708333333333,58.356,1.0
2020,16,1,21.433532934131737,28.7,22.622377622377623,17.193,20.72755801687764,24.102,10.0
2020,17,10,21.92035928143713,5.307,23.511805555555554,16.224,21.10360075064509,14.557,8.0
2020,18,8,23.235928143712574,1.909,21.433532934131737,28.7,22.622377622377623,17.193,9.0
2020,19,9,24.81878787878788,3.148,21.92035928143713,5.307,23.511805555555554,16.224,19.0
2020,20,19,23.538607594936707,3.535,23.235928143712574,1.909,21.433532934131737,28.7,9.0
2020,21,9,23.55875,15.329,24.81878787878788,3.148,21.92035928143713,5.307,4.0
2020,22,4,21.941666666666663,29.251,23.538607594936707,3.535,23.235928143712574,1.909,5.0
2020,23,5,22.179166666666667,4.182,23.55875,15.329,24.81878787878788,3.148,4.0
2020,24,4,21.921818181818185,0.728,21.941666666666663,29.251,23.538607594936707,3.535,9.0
2020,25,9,21.43109756097561,2.254,22.179166666666667,4.182,23.55875,15.329,16.0
2020,26,16,22.36050955414013,1.069,21.921818181818185,0.728,21.941666666666663,29.251,11.0
2020,27,11,21.517532467532465,1.376,21.43109756097561,2.254,22.179166666666667,4.182,7.0
2020,28,7,21.12606060606061,2.173,22.36050955414013,1.069,21.921818181818185,0.728,8.0
2020,29,8,22.683832335329345,1.334,21.517532467532465,1.376,21.43109756097561,2.254,7.0
2020,30,7,21.11377245508982,2.478,21.12606060606061,2.173,22.36050955414013,1.069,5.0
2020,31,5,22.63154761904762,4.338,22.683832335329345,1.334,21.517532467532465,1.376,2.0
2020,32,2,23.7144578313253,0.441,21.11377245508982,2.478,21.12606060606061,2.173,5.0
2020,33,5,22.53265306122449,11.477,22.63154761904762,4.338,22.683832335329345,1.334,5.0
2020,34,5,21.538414634146346,0.427,23.7144578313253,0.441,21.11377245508982,2.478,7.0
2020,35,7,21.288622754491016,0.157,22.53265306122449,11.477,22.63154761904762,4.338,10.0
2020,36,10,21.27365269461077,4.556,21.538414634146346,0.427,23.7144578313253,0.441,8.0
2020,37,8,21.530379746835443,7.606,21.288622754491016,0.157,22.53265306122449,11.477,7.0
2020,38,7,21.17179487179488,0.778,21.27365269461077,4.556,21.538414634146346,0.427,8.0
2020,39,8,21.70719424460432,0.004,21.530379746835443,7.606,21.288622754491016,0.157,8.0
2020,40,8,20.83405797101449,1.507,21.17179487179488,0.778,21.27365269461077,4.556,7.0
2020,41,7,21.17910447761194,0.004,21.70719424460432,0.004,21.530379746835443,7.606,7.0
2020,42,7,21.753846153846155,6.502,20.83405797101449,1.507,21.17179487179488,0.778,4.0
2020,43,4,21.12546583850932,0.924,21.17910447761194,0.004,21.70719424460432,0.004,6.0
2020,44,6,21.112676056338028,4.684,21.753846153846155,6.502,20.83405797101449,1.507,3.0
2020,45,3,21.37393939393939,2.657,21.12546583850932,0.924,21.17910447761194,0.004,5.0
2020,46,5,20.275694444444444,0.732,21.112676056338028,4.684,21.753846153846155,6.502,12.0
