anio,mes,categoria,proporcion,total_medellin,reclamos_estimados_medellin
2025,MAR,NEGACIÓN EN LA ATENCIÓN EN OTROS SERVICIOS DE SALUD,0.06501528901163937,14700,955.7247484710988
2025,MAR,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.06462073387255869,14700,949.9247879266128
2025,MAR,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.041625567173012426,14700,611.8958374432826
2025,MAR,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE CITAS DE CONSULTA,0.031065052278555928,14700,456.6562684947721
2025,MAR,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.02038740382718485,14700,299.6948362596173
2025,ABR,NEGACIÓN PARA LA ENTREGA DE TECNOLOGÍAS EN SALUD Y/O DE OTRO,0.19643185338829522,14332,2815.2613227610473
2025,ABR,NEGACIÓN EN LA ASIGNACIÓN DE CITAS O CONSULTAS,0.16536482264289654,14332,2370.008638117993
2025,ABR,FALTA DE OPORTUNIDAD EN LAS CITAS O CONSULTAS,0.1694213248615013,14332,2428.146427915037
2025,ABR,FALTA DE OPORTUNIDAD EN LA ATENCIÓN EN OTROS SERVICIOS DE SA,0.11379210754325624,14332,1630.8684853099483
2025,ABR,FALTA DE OPORTUNIDAD EN LA ENTREGA O ENTREGA INCOMPLETA DE T,0.12329666290335285,14332,1767.087772730853
2025,ABR,NEGACIÓN EN LA ATENCIÓN EN OTROS SERVICIOS DE SALUD,0.06561293879801507,14332,940.364638853152
2025,ABR,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.06869141701893035,14332,984.4853887153098
2025,ABR,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.04229133300076141,14332,606.1193845669126
2025,ABR,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE CITAS DE CONSULTA,0.03144117415391078,14332,450.6149079738493
2025,ABR,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.023656365689080264,14332,339.0430330558983
2025,MAY,NEGACIÓN PARA LA ENTREGA DE TECNOLOGÍAS EN SALUD Y/O DE OTRO,0.2152610158741345,15946,3432.5521591289485
2025,MAY,NEGACIÓN EN LA ASIGNACIÓN DE CITAS O CONSULTAS,0.16352766374789313,15946,2607.6121261239036
2025,MAY,FALTA DE OPORTUNIDAD EN LAS CITAS O CONSULTAS,0.16270547402174104,15946,2594.5014887506827
2025,MAY,FALTA DE OPORTUNIDAD EN LA ATENCIÓN EN OTROS SERVICIOS DE SA,0.11049055362732489,15946,1761.8823681413228
2025,MAY,FALTA DE OPORTUNIDAD EN LA ENTREGA O ENTREGA INCOMPLETA DE T,0.12540742437322716,15946,1999.7467890554803
2025,MAY,NEGACIÓN EN LA ATENCIÓN EN OTROS SERVICIOS DE SALUD,0.06571645025458518,15946,1047.9145157596154
2025,MAY,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.06717877341038425,15946,1071.2327208019872
2025,MAY,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.03841975134633568,15946,612.6413549686687
2025,MAY,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE CITAS DE CONSULTA,0.03062069451540725,15946,488.27759474268396
2025,MAY,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.02067219882896692,15946,329.6388825267065
2025,JUN,NEGACIÓN PARA LA ENTREGA DE TECNOLOGÍAS EN SALUD Y/O DE OTRO,0.20518192658263665,14501,2975.343117374814
2025,JUN,NEGACIÓN EN LA ASIGNACIÓN DE CITAS O CONSULTAS,0.17039996227406545,14501,2470.969852936223
2025,JUN,FALTA DE OPORTUNIDAD EN LAS CITAS O CONSULTAS,0.1672538888028079,14501,2425.3486415295174
2025,JUN,FALTA DE OPORTUNIDAD EN LA ATENCIÓN EN OTROS SERVICIOS DE SA,0.11025404374861054,14501,1598.7938883986014
2025,JUN,FALTA DE OPORTUNIDAD EN LA ENTREGA O ENTREGA INCOMPLETA DE T,0.11659334810932437,14501,1690.7201409333127
2025,JUN,NEGACIÓN EN LA ATENCIÓN EN OTROS SERVICIOS DE SALUD,0.066923113198014,14501,970.452064484401
2025,JUN,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.07002202925107283,14501,1015.3894461698071
2025,JUN,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.03848719002418502,14501,558.1027425407069
2025,JUN,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE CITAS DE CONSULTA,0.033198822411899837,14501,481.4161237949595
2025,JUN,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.021685675597383436,14501,314.46398183765723
2025,JUL,NEGACIÓN PARA LA ENTREGA DE TECNOLOGÍAS EN SALUD Y/O DE OTRO,0.20035122667225833,18804,3767.4044663451455
2025,JUL,NEGACIÓN EN LA ASIGNACIÓN DE CITAS O CONSULTAS,0.17426609352065422,18804,3276.899622562382
